id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
994600453567590401,"BJP Vision for conserving and promoting our culture and heritage.
#BJP4Development https://t.co/WUo0zFtGmL",2018-05-10 15:30:01,161,BJP4Karnataka,192289,"Karnataka, India","[{'text': 'BJP4Development', 'indices': [66, 82]}]"
994585351187410944,"BJP vision for Conserving and promoting our culture and heritage.
#BJP4Development https://t.co/n650Xl6cFx",2018-05-10 14:30:00,180,BJP4Karnataka,192289,"Karnataka, India","[{'text': 'BJP4Development', 'indices': [66, 82]}]"
994584091226931200,"Mr. Harris,

Karnataka has not forgotten how you tried to derail justice in Vidwat's case

You posted Vidwat's medi… https://t.co/0gfKVQFoBI",2018-05-10 14:25:00,551,BJP4Karnataka,192289,"Karnataka, India",[]
994579058410242049,Congress is notorious for promoting dynasty at all levels. The sons of Congress in Karnataka have wreaked havoc on… https://t.co/V4PtqnPUgx,2018-05-10 14:05:00,352,BJP4Karnataka,192289,"Karnataka, India",[]
994577806108618753,"BJP Vision For a clean and green Karnataka.

#BJP4Development https://t.co/AVrgqO1bX4",2018-05-10 14:00:01,211,BJP4Karnataka,192289,"Karnataka, India","[{'text': 'BJP4Development', 'indices': [45, 61]}]"
994577806108618753,"BJP Vision For a clean and green Karnataka.

#BJP4Development https://t.co/AVrgqO1bX4",2018-05-10 14:00:01,211,BJP4Karnataka,192289,"Karnataka, India","[{'text': 'BJP4Development', 'indices': [45, 61]}]"
994575993326235648,Today Kannadigas identify @siddaramaiah's government as that of goons and criminals. Here is a small video showcasi… https://t.co/RGQNGllHj9,2018-05-10 13:52:49,197,BJP4Karnataka,192289,"Karnataka, India",[]
994570253140135936,"A vision for growth in all regions of the state.

#BJP4Development https://t.co/hyfFkFwJ4i",2018-05-10 13:30:01,146,BJP4Karnataka,192289,"Karnataka, India","[{'text': 'BJP4Development', 'indices': [50, 66]}]"
994563550600421377,"RT @AmitShah: The writing on the wall is clear...It's time for BJP with absolute majority in Karnataka.
A picture from the road show in Bad…",2018-05-10 13:03:23,1987,BJP4Karnataka,192289,"Karnataka, India",[]
994561930529456129,RT @BSYBJP: Our campaign was based on my party’s positive approach in outlining achievements of @narendramodi ji’s govt at Centre &amp; BJP’s p…,2018-05-10 12:56:56,889,BJP4Karnataka,192289,"Karnataka, India",[]
994561725398732801,RT @BJP4India: #SarkaraBadalisiBJPGellisi https://t.co/BezK4k7l3s,2018-05-10 12:56:08,477,BJP4Karnataka,192289,"Karnataka, India","[{'text': 'SarkaraBadalisiBJPGellisi', 'indices': [15, 41]}]"
994560649828024321,"RT @AmitShah: As the campaign on last day in Karnataka draws to a close, I can't thank the people enough for their unforgettable love &amp; sup…",2018-05-10 12:51:51,1832,BJP4Karnataka,192289,"Karnataka, India",[]
